code,isMalicious
"void printfUART_buf  ( char *buf ,   int  len )   {   int  i ; for   ( i  =  0 ; i < len ; i++ )   {  printf  (  "" %02hhx  ""  ,  buf  [ i ]   )  ;  }  printf  (  "" \n ""  )  ;  } ",Vulnerable Code
"check_opt_size  ( cp_opt_t *opt ,  unsigned char *maxpos )   {  if   ( opt && opt < maxpos )   {  if   (   (   ( *opt & 0x0f )  < 0x0f )  ||   ( opt + 1 < maxpos )  )  return opt + cp_OPT_SIZE  ( opt )  < maxpos ;  }  return 0 ;  } ",Vulnerable Code
"cp_ft  ( cp_queue_t *queue ,  cp_tid_t id )   {  while   ( queue && queue -> id !=  id )  queue  =  queue -> next ; return queue ;  } ",Vulnerable Code
start  ( cp_pdu_t *pdu )   {  if   ( pdu && pdu -> hdr &&   ( pdu -> hdr -> token + pdu -> hdr -> token_length <   ( unsigned char * ) pdu -> hdr + pdu -> length )  )   {  cp_opt_t *opt  =  pdu -> hdr -> token + pdu -> hdr -> token_length ; return   ( *opt  ==  cp_PAYLOAD_START )  ? NULL : opt ;  }  else ,Vulnerable Code
cp_clone_pdu  ( cp_pdu_t *pdu )   {  cp_pdu_t *cloned_pdu ; size_t data_len ; unsigned char *data ; cp_opt_iterator_t opt_iter ; cp_opt_t *option ;,Vulnerable Code
cp_clone_uri  ( const cp_uri_t *uri )   {  cp_uri_t *result ; if   (  !uri  )  return NULL ;,Vulnerable Code
 int  get_ser_fd  (  )    {  return serial_source_fd  ( ser_src )  ;  } ,Vulnerable Code
 int  ipv6_addr_is_zero  ( const ip6_addr_t *addr )   {   int  i ; for   ( i = 0 ;i<16 ;i++ )   {  if   ( addr -> addr  [ i ]   )   {  return 0 ;  }   }  return 1 ;  } ,Vulnerable Code
"APort j int  ACALL Java_available  ( AEnv *jenv ,  jclass jcls ,  jlong jarg1 )   {  j int  jresult  =  0  ; NativeSerial *arg1  =    ( NativeSerial * )  0  ;  int  result ; ",Vulnerable Code
"APort jboolean ACALL Java_1cancelWait  ( AEnv *jenv ,  jclass jcls ,  jlong jarg1 )   {  jboolean jresult  =  0  ; NativeSerial *arg1  =    ( NativeSerial * )  0  ; bool result ;",Vulnerable Code
"APortvoid ACALL Java _1close  ( AEnv *jenv ,  jclass jcls ,  jlong jarg1 )   {  NativeSerial *arg1  =    ( NativeSerial * )  0  ;",Vulnerable Code
"void SJABool   ( AEnv *jenv ,  jboolean *jarr ,  bool *carr ,  jbooleanArray input )   {   int  i ; jsize sz  =  jenv -> GetArrayLength  ( input )  ; for   ( i = 0 ; i<sz ; i++ )  jarr  [ i ]    =    ( jboolean ) carr  [ i ]   ; jenv -> ReleaseBooleanArrayElements  ( input ,  jarr ,  0 )  ;  } ",Vulnerable Code
