code,isMalicious
void thread ( void* arg )   {  int s ;  for ( s = 0 ;  s < 4 ;  s++ )   {  led1Toggle (  )  ;  tosthread_sleep ( 1000 )  ;  } },Benign Code
"void thread_main ( void* arg )   {  tosthread_create ( &printf_thread ,  thread_run ,  NULL ,  200 )  ;  }",Benign Code
sf (  )  ;  throttle.initialize (  )  ;  while ( t->time (  )   <  600 * t->ticksPerSecond (  )  )   {  throttle.checkThrottle (  )  ;  sf.process (  )  ;  t->runNextEvent (  )  ;  } },Benign Code
"int opts ( void *a ,  void *b )   {  if  ( !a || !b )  return a  <  b ? -1 : 1 ;  if  ( COAP_OPTION_KEY ( * ( coap_option * ) a )   <  COAP_OPTION_KEY ( * ( coap_option * ) b )  )  return -1 ;  return COAP_OPTION_KEY ( * ( coap_option * ) a )   =  =  COAP_OPTION_KEY ( * ( coap_option * ) b )  ;  }",Benign Code
"new_node ( unsigned short key ,  unsigned int length ,  char *data )   {  coap_option *option ;  option  =  coap_malloc ( sizeof ( coap_option )  + length )  ;  if  (  !option  )  goto error ;  node  =  coap_new_listnode ( option ,  NULL )  ;  if  (  node  )  return node ;  error: coap_free (  option  )  ;  return NULL ;  } ",Benign Code
"void USBDDriverCall_InterfaceSettingChanged (  char iface ,  char setting )   {  TRACE_INFO_WP ( ""InterfaceSettingChanged "" )  ;  }",Benign Code
dcoConst  =  * (  ( float * )  &csInfo -> rDCOIR_CONSTK_RSEL5 )  ; ,Vulnerable Code
dcoConst  =  * (  ( float * )  &csInfo -> rDCOER_CONSTK_RSEL )  ; ,Vulnerable Code
dcoConst  =  * (  ( float * )  &csInfo -> rDCOIR_CONSTK_RS )  ; ,Vulnerable Code
void thread ( void* arg )   {  for (  ;  ;  )   {  tosthread_join ( &blink0 )  ;  tosthread_join ( &blink1 )  ;  led2Toggle (  )  ;  } },Benign Code
void thread ( void* arg )   {  int s ;  for ( s = 0 ;  s < 2 ;  s++ )   {  led0Toggle (  )  ;  tosthread_sleep ( 1000 )  ;  } },Benign Code
"getenv (  ""TOSCOMMMAP""  )  ; ",Vulnerable Code
coap_resource_t *r ; ,Vulnerable Code
system ( cmd_buf )  ! =  0 ) ,Vulnerable Code
